SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2022,Kaila Charles,1630097,266.0,135.1,130.8,100.4,105.0,-4.6,135.4,1.9,4.4,2804.8,2779.2,6.3,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Tina Krajisnik,1630961,180.1,130.4,49.6,108.1,102.1,6.0,43.7,9.4,9.2,3447.7,3455.2,18.6,2,2.7,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,CHI,2,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,10.6,10.0
2022,Hannah Sjerven,1631046,141.1,105.6,35.4,106.2,108.5,-2.3,37.7,12.8,14.2,2769.7,2765.0,27.0,3,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,MIN,3,0.0,0.0,0.0,0.0,0.0,0.0,5.900000000000001,0.0,7.0,5.900000000000001
2022,A'ja Wilson,1628932,116.2,102.6,13.6,103.8,117.0,-13.1,26.7,2859.1,2835.4,758.8,770.2,5694.4,36,30.0,14.399999999999999,5.2,19.5,9.4,2.1,1.4,1.8999999999999997,1.7,50.1,37.3,LVA,36,31.399999999999995,15.199999999999998,3.0,12.2,3.4,2.3,3.1,2.7,23.2,5.4
2022,Chelsea Gray,203833,117.0,103.1,13.9,103.7,113.0,-9.4,23.2,2690.2,2680.2,927.8,925.3,5370.4,35,29.7,10.7,2.5,13.7,3.2,6.1,1.6,0.3,2.3,49.1,34.0,LVA,35,22.5,5.2,0.5,4.8,9.9,2.7,0.5,3.7,18.3,3.2
2022,Breanna Stewart,1627668,110.9,101.3,9.6,96.2,108.2,-12.0,21.6,2477.5,2479.1,766.8,763.3,4956.6,34,30.9,15.9,5.8,21.8,7.6,2.9,1.6,0.9,1.3,47.2,37.9,SEA,34,34.7,12.0,2.2,9.9,4.5,2.5,1.5,2.0,27.1,4.0
2022,Khayla Pointer,1631062,101.6,96.0,5.7,99.4,113.7,-14.3,20.0,100.4,109.4,2714.7,2716.7,209.8,10,5.8,1.2,1.4,2.2,0.8,0.2,0.2,0.0,0.9,58.3,25.0,IND,10,19.5,7.1,0.9,6.2,1.8,1.8,0.0,8.0,27.1,1.8
2022,Megan Walker,1630136,105.2,92.7,12.5,100.1,106.1,-6.0,18.5,226.2,224.3,2580.5,2559.3,450.5,12,9.6,3.2000000000000006,0.5,3.2999999999999994,0.8000000000000002,0.4000000000000001,0.3,0.0,1.0,36.8,36.8,ATL,12,15.699999999999998,3.6,1.2,2.4,2.0,1.2,0.0,4.8,23.4,1.2
2022,Kelsey Plum,1628276,115.1,104.3,10.9,106.2,112.4,-6.1,17.0,2992.8,2975.4,625.1,630.1,5968.3,36,32.8,14.800000000000002,4.1,20.2,2.7,5.1,1.0,0.1,2.6,46.0,42.0,LVA,36,29.5,3.9000000000000004,0.4,3.5,7.5,1.5,0.1,3.7999999999999994,23.1,1.6
2022,Skylar Diggins,203400,106.4,107.1,-0.7,98.0,114.0,-16.0,15.3,1958.9,1948.8,983.6,990.6,3907.7,30,34.0,16.2,5.3,19.7,4.0,5.5,1.5,1.0,2.7,42.9,29.6,PHO,30,29.0,5.9,1.4,4.6,8.1,2.3,1.5,3.9,32.5,3.8
2022,Allisha Gray,1628277,111.8,108.9,2.9,98.9,111.1,-12.2,15.1,2236.3,2226.6,688.8,713.0,4462.9,33,32.9,10.5,3.2,13.3,4.8,2.5,1.1,0.7,1.3,42.3,40.8,DAL,33,20.5,7.4,1.4,6.1,3.8999999999999995,1.7,1.1,2.0,19.5,2.8
2022,Destiny Slocum,1630435,118.1,109.4,8.7,99.9,104.9,-4.9,13.6,84.7,83.2,2722.0,2700.4,167.8,3,13.699999999999998,3.7000000000000006,1.7,4.7,1.3,1.3,0.0,0.0,1.7,36.4,33.3,ATL,3,15.199999999999998,4.3,0.0,4.3,4.3,0.0,0.0,5.400000000000001,21.8,0.0
2022,Courtney Vandersloot,202664,108.8,97.4,11.4,107.4,109.6,-2.2,13.6,2111.2,2108.7,1345.9,1355.7,4219.9,32,26.5,8.8,3.1,11.8,3.9,6.5,1.2,0.5,2.7,48.1,36.7,CHI,32,21.6,7.1,1.3,5.8,11.9,2.2,0.9,5.0,19.5,3.1
2022,Candace Parker,201496,109.3,98.6,10.8,106.4,108.7,-2.3,13.1,2212.4,2222.9,1244.7,1241.5,4435.3,32,28.2,10.8,2.4,13.2,8.6,4.5,1.0,1.0,2.4,45.8,31.1,CHI,32,23.1,15.0,1.6,13.4,7.9,1.7,1.7,4.3,20.6,3.4
2022,Jewell Loyd,204319,108.9,101.6,7.3,102.2,107.8,-5.6,12.9,2543.7,2549.4,700.6,693.0,5093.1,36,30.299999999999997,14.1,3.1,16.3,2.6,3.4,1.1,0.2,2.2,39.6,38.5,SEA,36,26.3,4.3,0.8999999999999999,3.4,5.4,1.7999999999999998,0.3,3.5,25.0,2.0999999999999996
2022,Bria Hartley,203829,104.3,106.4,-2.1,99.3,113.4,-14.0,11.9,225.4,229.3,2656.1,2666.0,454.7,13,9.5,2.8,0.5,3.0,0.9000000000000001,1.1,0.3,0.0,0.8,37.8,41.2,CON,13,16.1,5.0,0.4,4.5,5.799999999999999,1.6999999999999997,0.0,4.1,22.0,1.6999999999999997
2022,Gabby Williams,1628931,110.4,101.4,9.0,102.8,105.3,-2.5,11.5,1987.6,1984.4,1256.7,1258.0,3972.0,36,25.6,6.8,1.3,7.5,5.0,3.1,1.5,0.4,1.4,44.4,25.7,SEA,36,14.399999999999999,9.6,2.3,7.300000000000001,5.9,2.9,0.7,2.8,15.9,3.5999999999999996
2022,Kiana Williams,1630461,99.9,84.1,15.7,107.6,103.3,4.3,11.4,54.1,53.5,3196.1,3194.6,107.6,4,7.3,2.0,0.0,1.3,0.5,1.3,0.0,0.0,0.5,25.0,25.0,CON,4,8.5,3.4,0.0,3.4,8.5,0.0,0.0,3.4,18.5,0.0
2022,Jackie Young,1629498,116.1,106.0,10.1,103.6,104.4,-0.8,10.9,2885.3,2874.7,732.6,730.9,5760.0,34,33.2,11.8,3.8,15.9,4.4,3.9,1.4,0.2,1.3,47.6,43.1,LVA,34,23.1,6.3,1.8,4.5,5.6,2.0,0.3,1.8,17.4,2.3
2022,Shey Peddy,203035,106.5,108.6,-2.0,98.1,111.1,-12.9,10.9,1923.3,1894.0,1019.2,1045.4,3817.3,34,28.7,8.2,1.9,9.9,3.8,3.4,1.6,0.2,1.4,41.8,32.9,PHO,34,17.3,6.6,2.3,4.2,6.0,2.8,0.4,2.5,18.4,3.1999999999999997
2022,Jasmine Thomas,202662,113.8,93.2,20.6,109.5,99.6,9.8,10.8,207.4,211.3,3458.2,3494.4,418.6,5,21.8,6.0,2.6,6.6,2.2,3.0,0.6,0.2,1.4,26.7,38.5,CON,5,14.7,4.9,0.9,4.0,6.7,1.3,0.4,3.1,20.6,1.7000000000000002
2022,Bridget Carleton,1629524,107.6,103.9,3.8,105.5,111.8,-6.3,10.1,1166.0,1163.9,1616.4,1615.3,2329.9,36,16.8,3.7999999999999994,0.7,4.3,2.1,1.1,0.4,0.1,0.6,40.0,34.9,MIN,36,12.6,6.2,1.0,5.2,3.2,1.3,0.4,1.8999999999999997,14.5,1.7000000000000002
