SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2021,Amanda Zahui B,204320,96.4,97.2,-0.8,96.0,107.4,-11.4,10.6,1327.0,1332.6,1083.6,1084.8,2659.6,30,23.8,8.3,1.4,9.2,5.1,1.0,0.6,1.2,1.8,42.7,28.0,LAS,30,19.7,11.0,1.7,9.3,2.1,1.4,2.5,3.9,24.2,3.9
2021,Jackie Young,1629498,112.4,100.5,11.9,106.9,105.2,1.7,10.2,2288.1,2279.1,659.3,688.2,4567.2,32,31.8,9.6,2.8,12.2,4.1,3.2,1.1,0.3,1.5,50.5,25.0,LVA,32,18.4,6.2,1.0,5.2,4.9,1.7,0.5,2.2,17.2,2.2
2021,Dearica Hamby,204324,114.0,99.7,14.2,108.0,103.7,4.4,9.8,1563.8,1580.0,1383.6,1387.2,3143.8,29,24.5,8.0,3.9,11.6,6.7,1.7,1.1,0.1,1.5,54.5,25.0,LVA,29,22.8,13.1,2.2,10.8,3.3,2.1,0.3,2.9,20.8,2.4
2021,Chelsea Dungee,1630440,93.3,87.8,5.5,105.7,109.0,-3.3,8.8,123.2,118.4,2400.5,2371.0,241.6,14,4.6,1.2,0.0,0.6,0.2,0.1,0.0,0.1,0.1,17.6,20.0,DAL,14,6.4,2.4,0.8,1.6,0.8,0.0,0.8,1.6,14.8,0.8
2021,Satou Sabally,1630149,107.1,104.2,2.9,104.1,109.9,-5.7,8.6,847.6,834.6,1676.1,1654.8,1682.2,17,24.9,9.7,3.6,11.9,5.9,2.8,0.2,0.8,2.3,41.8,32.7,DAL,17,23.9,11.8,3.2,8.6,5.6,0.5,1.6,4.6,27.2,2.1
2021,Danielle Robinson,202658,99.3,107.9,-8.7,100.0,117.1,-17.0,8.4,1259.2,1270.3,1149.6,1150.5,2529.5,24,27.399999999999995,8.8,2.6,9.9,3.5,3.7000000000000006,1.5,0.10000000000000002,1.8,41.7,20.0,IND,24,17.9,6.400000000000001,0.6,5.8,6.7,2.7999999999999994,0.20000000000000004,3.2000000000000006,22.4,2.9999999999999996
2021,Jasmine Thomas,202662,109.2,94.6,14.6,107.5,101.1,6.4,8.2,1868.1,1866.4,772.4,789.6,3734.4,30,29.6,9.8,1.9,10.6,2.4,4.0,1.3,0.2,2.2,38.6,40.0,CON,30,18.8,4.3,0.8,3.6,7.2,2.3,0.4,4.0,20.6,2.6999999999999997
2021,Rachel Banham,1627671,110.7,99.5,11.2,104.9,101.8,3.1,8.1,671.1,681.2,1883.4,1889.0,1352.3,27,12.6,4.8,0.3,5.0,1.2,1.6,0.3,0.1,0.9,39.5,37.3,MIN,27,18.9,4.6,0.4,4.2,6.1,1.1,0.6,3.5,23.5,1.7000000000000002
2021,Kylee Shook,1630131,97.9,101.9,-4.0,101.2,113.3,-12.1,8.1,1123.4,1131.2,1471.8,1462.2,2254.5,30,18.9,5.1,0.2,5.7,4.0,1.4,0.3,0.5,1.3,46.7,39.3,NYL,30,14.4,10.2,1.7,8.5,3.5,0.8,1.3,3.2,17.3,2.1
2021,Chiney Ogwumike,203823,97.6,96.0,1.5,96.0,102.4,-6.4,7.9,263.4,256.1,2147.2,2161.2,519.6,7,19.2,7.0,1.1,7.0,4.1,1.1,0.9,0.4,0.9,40.8,75.0,LAS,7,17.9,10.6,4.0,6.6,2.9,2.2,1.1,2.2,22.3,3.3000000000000003
