SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2017,Feyonda Fitzgerald,1628289,143.3,104.9,38.4,110.7,104.8,5.9,32.4,18.8,16.2,2685.9,2714.2,35.0,2,3.9,1.5,0.0,0.0,1.5,1.0,0.0,0.0,0.5,0.0,0.0,CON,2,0.0,16.7,5.6,11.1,11.1,0.0,0.0,5.6,21.3,0.0
2017,Maya Moore,202632,117.1,98.3,18.7,96.6,100.2,-3.7,22.4,2494.5,2501.9,649.4,662.6,4996.4,34,31.3,13.8,3.7,17.3,5.0,3.5,1.9,0.4,1.8,44.2,41.1,MIN,34,28.1,8.2,2.4,5.7,5.7,3.1,0.7,2.9,23.5,3.8
2017,Alyssa Thomas,203826,114.0,102.1,11.9,102.7,112.1,-9.3,21.3,1965.0,1997.0,739.8,733.4,3962.0,33,29.8,11.2,6.1,14.8,6.8,4.5,1.6,0.4,3.0,50.9,0.0,CON,33,24.2,11.1,2.3,8.8,7.3,2.6,0.6,4.8,28.4,3.2
2017,Tiffany Mitchell,1627676,104.8,108.3,-3.5,95.5,118.8,-23.3,19.8,1266.2,1255.4,1274.8,1252.6,2521.6,27,24.9,8.8,3.8,10.3,3.2,1.4,1.1,0.2,1.5,34.9,24.6,IND,27,20.9,6.5,1.2,5.3,2.9,2.3,0.4,3.0,25.5,2.6999999999999997
2017,Alexis Prince,1628297,106.5,90.2,16.3,107.3,109.1,-1.8,18.1,256.3,253.9,2691.2,2699.2,510.2,18,7.199999999999999,2.3,0.1,1.8999999999999997,1.0,0.4,0.2,0.2,0.2,34.1,31.3,PHO,18,13.1,6.7,0.4,6.3,2.6,1.5,1.5,1.1,17.9,3.0
2017,Brittney Griner,203398,110.8,104.6,6.2,101.3,112.4,-11.1,17.4,1856.4,1855.4,1091.1,1097.7,3711.9,26,31.5,13.8,7.299999999999999,21.9,7.6,1.9,0.7,2.5,2.5,57.7,0.0,PHO,26,35.4,12.3,2.8,9.5,3.0,1.1,4.0,4.0,27.3,5.1
2017,Jonquel Jones,1627673,113.8,102.9,10.9,103.7,109.7,-5.9,16.9,1935.5,1971.0,769.2,759.4,3906.5,34,28.5,10.0,4.9,15.4,11.9,1.5,0.9,1.5,1.7,53.4,44.6,CON,34,26.4,20.4,6.2,14.1,2.5,1.5,2.5,2.9,24.3,4.0
2017,Skylar Diggins,203400,111.6,112.4,-0.8,94.4,111.4,-17.0,16.1,2321.0,2330.9,419.3,427.3,4651.9,34,34.2,13.4,6.4,18.5,3.5,5.8,1.3,0.8,2.8,42.2,35.0,DAL,34,26.5,5.0,1.0,4.0,8.4,1.9,1.2,4.0,27.9,3.0999999999999996
2017,Jennifer Hamson,203845,110.9,109.3,1.6,99.4,113.9,-14.5,16.1,164.2,161.1,2376.9,2346.9,325.2,12,7.2,1.5,0.6,2.2,2.1,0.20000000000000004,0.10000000000000002,0.9,0.4000000000000001,55.6,0.0,IND,12,15.4,14.800000000000002,3.6,11.199999999999998,1.2,0.6,6.5,3.0,15.8,7.1
2017,Nayo Raincock-Ekunwe,1628248,117.6,100.7,16.9,104.2,103.2,1.0,15.9,556.0,579.8,2031.4,2032.6,1135.8,32,9.2,2.4,1.9,3.7,1.8,0.3,0.2,0.0,0.5,52.6,0.0,NYL,32,19.5,9.4,4.8,4.6,1.3,0.8,0.2,2.8,21.5,1.0
