SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS
1998,Tiffani Johnson,100233,99.7,67.7,31.9,91.2,100.1,-8.9,40.9,58.2,63.5,1939.9,1955.5,121.7
1998,Leila de Souza Sobral,100283,105.6,99.7,5.9,86.2,109.0,-22.9,28.8,145.8,134.4,1987.0,2010.4,280.2
1998,Tia Paschal,100070,106.9,80.3,26.6,99.7,97.9,1.8,24.7,181.5,189.2,2075.2,2093.8,370.8
1998,Rebecca Lobo,100002,100.9,90.7,10.2,91.9,103.5,-11.6,21.8,1513.8,1507.9,564.9,569.2,3021.7
1998,Margo Dydek,100239,97.5,101.1,-3.6,88.5,111.8,-23.3,19.7,1522.6,1497.6,672.5,683.4,3020.3
1998,Cindy Brown,100248,99.0,95.3,3.8,89.0,104.2,-15.2,19.0,1704.4,1695.2,431.4,430.9,3399.6
1998,Sheryl Swoopes,100072,108.4,88.2,20.2,104.3,101.4,2.9,17.3,1925.6,1926.1,527.1,519.6,3851.7
1998,Alessandra Santos de Olive,100201,89.2,100.3,-11.1,86.4,114.2,-27.8,16.7,845.3,883.4,1287.5,1261.4,1728.7
1998,Marlies Askamp,100037,108.5,90.2,18.4,100.5,95.4,5.1,13.3,609.9,622.2,1931.9,1933.2,1232.0
1998,Razija Brcaninovic,100253,98.1,92.5,5.6,95.6,103.1,-7.5,13.1,1202.6,1208.4,933.2,917.8,2411.0
1998,Sandy Brondello,100247,99.1,97.1,2.1,86.6,97.2,-10.6,12.7,1774.2,1758.8,361.6,367.4,3533.0
1998,Lisa Leslie,100003,99.1,98.0,1.0,92.7,104.1,-11.4,12.4,1645.2,1594.4,550.2,560.2,3239.6
1998,Mikiko Hagiwara,100019,109.6,89.7,19.8,102.1,94.4,7.8,12.1,111.4,118.1,2430.4,2437.2,229.5
1998,Sophia Witherspoon,100105,99.6,92.7,6.8,94.9,98.5,-3.6,10.4,1567.9,1564.4,510.8,512.6,3132.4
1998,Eva Nemcova,100091,102.5,97.5,5.0,95.3,100.3,-5.1,10.0,1876.9,1876.5,476.5,477.4,3753.4
1998,Jamila Wideman,100007,98.9,93.8,5.1,97.0,101.8,-4.8,9.9,582.6,586.4,1612.7,1568.2,1169.0
1998,Vickie Johnson,100103,100.3,93.6,6.7,92.9,95.9,-3.0,9.7,1558.8,1550.6,519.9,526.4,3109.5
1998,Cynthia Cooper,100073,109.2,91.4,17.8,96.2,88.0,8.2,9.6,2130.5,2129.6,322.2,316.0,4260.1
1998,Maria Stepanova,100227,110.2,93.8,16.4,101.5,94.2,7.3,9.1,265.8,276.1,2276.0,2279.2,542.0
1998,Merlakia Jones,100092,101.6,94.8,6.8,100.3,102.3,-2.0,8.8,1326.0,1332.1,1027.4,1021.8,2658.2
1998,Elena Baranova,100043,96.5,102.5,-6.1,92.5,106.9,-14.4,8.3,1231.7,1220.0,963.5,961.1,2451.7
1998,Chantel Tremitiere,100022,96.7,103.2,-6.5,91.9,106.2,-14.3,7.8,1284.2,1276.8,911.0,904.3,2561.0
1998,Sharon Manning,100063,99.1,91.1,8.0,101.3,101.0,0.3,7.7,1036.4,1053.9,1220.3,1229.2,2090.3
1998,Korie Hlede,100250,98.4,96.7,1.8,92.4,98.4,-6.0,7.7,1632.7,1622.1,503.1,504.0,3254.8
1998,Brandy Reed,100225,107.4,93.3,14.1,101.0,94.4,6.6,7.5,559.6,577.9,1982.2,1977.4,1137.5
