SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2011,Porsha Phillips,202654,159.6,40.0,119.6,100.8,107.5,-6.7,126.3,3.8,5.0,208.4,208.3,8.8,2,1.4,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,100.0,0.0,SAN,2,40.0,40.0,0.0,40.0,0.0,0.0,20.0,0.0,26.3,20.0
2011,Roneeka Hodges,101033,114.2,44.4,69.8,101.4,108.7,-7.3,77.1,7.9,9.0,204.2,204.3,16.9,1,5.2,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,50.0,50.0,SAN,1,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.3,0.0
2011,Jessica Moore,101042,119.8,61.0,58.8,90.4,106.2,-15.8,74.6,12.5,14.8,147.1,139.4,27.3,2,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.5,100.0,0.0,CON,2,25.0,6.3,0.0,6.3,0.0,0.0,0.0,6.3,23.0,0.0
2011,Essence Carson,201502,113.1,93.6,19.5,85.8,111.0,-25.2,44.7,120.3,115.4,99.1,99.1,235.7,3,22.0,9.3,3.0,9.0,3.2999999999999994,1.3,2.0,0.3,2.0,35.7,20.0,NYL,3,21.399999999999995,7.900000000000001,3.2000000000000006,4.8,3.2000000000000006,4.8,0.8000000000000002,4.8,31.5,5.6
2011,Tanisha Wright,101030,114.1,97.6,16.5,86.4,108.9,-22.5,39.0,156.0,157.8,69.4,69.8,313.9,3,28.100000000000005,11.300000000000002,4.0,18.7,4.0,2.3,1.7,0.3,3.0,58.8,60.0,SEA,3,33.1,7.099999999999999,1.8,5.3,4.1,3.0,0.6,5.3,30.9,3.6
2011,Lindsey Harding,201046,108.0,101.4,6.5,82.8,111.1,-28.2,34.8,567.8,583.8,33.8,38.7,1151.6,8,37.8,13.8,4.4,14.5,3.0,5.9,1.9,0.3,1.6,39.1,25.0,ATL,8,18.8,3.9,0.6,3.2,7.6,2.4,0.3,2.1,24.4,2.6999999999999997
2011,Sue Bird,100720,106.7,97.3,9.4,99.8,123.9,-24.1,33.5,189.4,195.4,36.1,32.3,384.8,3,33.6,12.0,2.3,15.699999999999998,4.0,2.7000000000000006,1.0,0.0,0.6999999999999998,44.4,50.0,SEA,3,23.3,5.900000000000001,2.0,4.0,4.0,1.5,0.0,1.0,21.7,1.5
2011,Cappie Pondexter,200665,98.6,95.3,3.3,113.8,142.6,-28.8,32.0,187.7,185.8,31.6,28.8,373.5,3,34.5,14.699999999999998,3.2999999999999994,14.300000000000002,5.0,5.3,0.3,1.0,2.3,34.1,21.4,NYL,3,21.8,7.599999999999999,0.5,7.099999999999999,8.1,0.5,1.5,3.6,29.5,2.0
2011,DeWanna Bonner,201886,102.5,113.3,-10.8,85.0,126.8,-41.8,31.0,341.3,344.1,38.8,36.3,685.4,5,35.7,13.2,2.8,12.6,9.4,1.2,1.4,1.2,1.6,34.8,21.7,PHO,5,17.6,13.1,3.1,10.1,1.7,2.0,1.7,2.2,23.5,3.7
2011,Danielle Robinson,202658,103.7,100.7,2.9,96.3,121.5,-25.2,28.2,159.2,159.8,53.0,53.5,319.0,3,30.0,9.0,0.6999999999999998,5.3,3.0,2.3,1.7,0.0,2.0,25.9,0.0,SAN,3,9.4,5.3,1.2,4.1,4.1,2.9,0.0,3.5,21.3,2.9
