SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2015,Inga Orekhova,203840,122.6,71.8,50.8,102.9,105.4,-2.6,53.3,18.8,20.9,2448.8,2450.8,39.6,4,2.6,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,CON,4,0.0,4.5,4.5,0.0,0.0,0.0,0.0,4.5,27.7,0.0
2015,Candace Parker,201496,111.1,102.8,8.3,96.8,108.3,-11.5,19.8,1194.3,1181.9,1442.5,1423.8,2376.2,16,34.4,14.8,5.1,19.4,10.1,6.3,1.9,1.8,2.5,48.9,27.9,LAS,16,30.1,15.6,1.7,13.9,9.7,3.0,2.8,3.9,26.2,5.8
2015,Maya Moore,202632,105.9,98.4,7.5,92.8,104.0,-11.2,18.7,2634.4,2620.0,538.6,541.2,5254.4,33,33.4,17.2,4.8,20.6,6.7,3.5,1.6,0.8,2.3,42.0,35.9,MIN,33,32.4,10.5,2.9,7.6,5.5,2.6,1.2,3.7,27.1,3.8
2015,Skylar Diggins,203400,113.7,100.4,13.3,102.3,107.5,-5.2,18.4,545.5,550.9,2084.0,2086.0,1096.4,9,32.2,14.0,5.4,17.8,2.7,5.0,1.6,0.3,2.0,40.5,44.8,TUL,9,27.9,4.2,1.8999999999999997,2.3,7.900000000000001,2.4,0.5,3.1,30.3,2.9
2015,Elena Delle Donne,203399,110.2,102.9,7.3,102.3,112.9,-10.6,17.9,2150.8,2140.7,660.0,649.5,4291.5,31,33.3,16.7,7.0,23.4,8.4,1.4,1.1,2.1,1.2,46.0,31.3,CHI,31,35.5,12.7,2.9,9.8,2.1,1.6,3.1,1.8,30.2,4.7
2015,Tamika Catchings,100646,108.1,99.4,8.8,99.1,107.5,-8.4,17.2,2068.5,2077.7,1212.3,1208.6,4146.2,30,26.6,10.9,4.8,13.1,7.1,2.2,1.8,0.8,1.7,38.2,29.5,IND,30,25.5,13.8,3.3,10.5,4.3,3.6,1.6,3.2,21.3,5.2
2015,Briana Butler,203046,108.2,90.1,18.1,104.7,102.5,2.2,15.9,42.5,45.5,3238.3,3240.8,88.0,3,7.5,1.7,0.0,0.6999999999999998,0.6999999999999998,0.0,0.3,0.3,0.3,20.0,0.0,IND,3,4.1,4.1,0.0,4.1,0.0,2.0,2.0,2.0,14.1,4.0
2015,Courtney Vandersloot,202664,109.9,102.7,7.2,104.0,112.5,-8.5,15.7,2088.7,2069.2,722.2,721.0,4157.8,34,29.8,9.3,2.1,11.4,3.4,5.8,1.3,0.5,2.1,46.3,35.6,CHI,34,19.4,5.8,1.1,4.7,9.9,2.3,0.9,3.6,20.1,3.1999999999999997
2015,Brittany Boyd-Jones,204327,109.0,93.1,15.8,99.0,98.5,0.5,15.3,784.6,785.9,2127.4,2131.1,1570.5,30,14.3,5.0,3.4,6.6,2.7,2.3,1.2,0.1,1.6,39.1,26.7,NYL,30,23.1,9.5,2.0,7.5,8.2,4.1,0.2,5.6,31.0,4.3
2015,Sancho Lyttle,101023,101.8,98.2,3.6,102.3,112.5,-10.2,13.8,1337.0,1337.6,1239.1,1230.7,2674.6,24,30.0,9.1,2.2,10.3,8.3,2.2,2.3,0.6,1.6000000000000003,47.5,20.0,ATL,24,17.6,14.0,4.7,9.3,3.7000000000000006,3.7999999999999994,1.0,2.7000000000000006,20.9,4.799999999999999
