SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS
1999,Wendy Palmer,100046,97.9,107.1,-9.2,105.5,103.8,1.8,-11.0,1336.4,1325.2,1519.9,1505.2,2661.6
1999,Clarisse Machanguana,100395,101.2,107.3,-6.0,104.7,99.6,5.1,-11.1,468.2,461.5,2128.8,2095.5,929.6
1999,Michele Timms,100029,98.6,102.4,-3.8,104.0,96.2,7.8,-11.7,1380.6,1363.9,767.1,798.2,2744.5
1999,Sandy Brondello,100247,97.8,103.2,-5.4,98.1,91.7,6.4,-11.8,1787.6,1791.5,535.1,529.8,3579.1
1999,Adrienne Johnson,100100,94.6,104.5,-9.9,103.1,101.1,2.0,-11.9,382.8,369.4,1784.2,1801.1,752.2
1999,Kate Starbird,100422,98.2,100.1,-2.0,106.6,96.5,10.1,-12.0,424.8,444.4,1891.0,1946.2,869.2
1999,Becky Hammon,100342,98.0,106.8,-8.9,101.0,97.2,3.8,-12.7,421.6,402.4,2052.7,2040.9,824.0
1999,Cass Bauer-Bilodeau,100294,93.9,107.5,-13.6,101.1,100.4,0.7,-14.3,205.5,209.3,2140.5,2163.0,414.8
1999,Edna Campbell,100375,96.9,102.6,-5.7,105.7,96.7,9.0,-14.8,1258.4,1268.3,889.2,893.8,2526.8
1999,Penny Moore,100374,101.8,123.0,-21.2,96.6,102.9,-6.3,-14.9,36.4,37.4,2127.4,2133.5,73.8
1999,Tangela Smith,100236,99.4,99.1,0.3,110.7,95.3,15.4,-15.1,1161.4,1204.4,1154.4,1186.2,2365.9
1999,Yolanda Moore,100085,95.1,110.1,-15.0,102.2,100.9,1.3,-16.3,188.2,181.7,1978.7,1988.9,369.9
1999,Cindy Blodgett,100183,104.3,112.1,-7.8,105.1,96.6,8.5,-16.3,90.2,93.7,2225.6,2297.0,183.8
1999,Tricia Bader Binford,100237,95.8,122.0,-26.2,91.9,101.5,-9.6,-16.6,197.3,185.2,1977.6,1993.4,382.5
1999,Nina Bjedov,100391,100.7,109.0,-8.3,105.7,97.2,8.5,-16.8,829.0,819.0,1768.0,1738.0,1648.0
1999,Michelle Campbell,100360,95.5,119.7,-24.2,101.7,106.4,-4.7,-19.4,63.9,62.7,2259.4,2239.0,126.6
1999,Tamecka Dixon,100008,100.7,109.6,-8.9,106.5,94.8,11.7,-20.7,1086.3,1065.2,1510.7,1491.8,2151.5
1999,Olympia Scott,100243,88.8,114.6,-25.8,101.6,106.4,-4.8,-21.0,181.4,179.0,2229.8,2206.4,360.3
1999,Amaya Valdemoro,100211,97.6,105.0,-7.4,108.6,94.5,14.0,-21.4,192.6,195.3,2384.1,2354.3,388.0
1999,Tora Suber,100062,82.8,106.2,-23.4,103.4,101.3,2.2,-25.5,189.5,186.4,1977.4,1984.2,375.9
1999,Jennifer Gillom,100030,96.9,100.6,-3.8,122.7,97.3,25.3,-29.1,1841.9,1846.6,305.7,315.5,3688.5
1999,Kara Wolters,100340,104.8,121.9,-17.1,107.9,94.4,13.4,-30.5,86.8,83.7,2489.9,2466.0,170.5
1999,Jennifer Whittle,100355,91.4,130.1,-38.7,96.7,102.8,-6.1,-32.6,31.7,32.3,2132.0,2138.6,64.0
1999,Mila Nikolich,100439,103.0,131.5,-28.5,107.9,94.4,13.5,-41.9,66.0,63.9,2510.7,2485.8,129.9
1999,Lesley Brown,100383,78.6,124.8,-46.1,98.5,99.7,-1.1,-45.0,80.1,80.2,2242.6,2241.2,160.3
1999,Merlelynn Lang-Harris,100379,51.5,143.4,-91.9,100.6,100.0,0.6,-92.5,3.9,4.9,2143.8,2157.2,8.8
1999,Rebecca Lobo,100002,0.0,100.0,-100.0,100.6,98.8,1.8,-101.8,2.0,2.0,2472.3,2441.4,4.0
