SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2026,Shay Ciezki,1643470,157.6,85.0,72.5,108.9,113.2,-4.3,76.9,19.0,17.6,2734.5,2758.2,36.7,2,4.7,1.0,0.0,1.5,0.5,0.5,0.0,0.0,0.0,50.0,100.0,PHX,2,15.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,10.5,0.0
2026,Jackie Young,1629498,119.6,108.8,10.8,103.4,124.3,-20.9,31.7,2268.3,2273.8,599.4,600.8,4542.2,36,32.6,13.7,3.3,18.6,4.4,6.7,0.8999999999999999,0.3,2.5,48.4,39.0,LVA,36,28.2,6.7,1.1,5.6,10.1,1.3,0.5,3.7000000000000006,28.0,1.8
2026,A'ja Wilson,1628932,120.0,108.7,11.3,105.5,121.9,-16.4,27.7,2136.7,2143.7,731.0,731.0,4280.4,34,32.3,17.6,8.0,26.1,9.7,3.1,1.5,2.1,2.6,51.9,41.5,LVA,34,39.9,14.9,2.9,12.0,4.7,2.2,3.2,3.9,37.7,5.4
2026,Indya Nivar,1643469,134.0,102.6,31.4,114.4,109.8,4.6,26.8,109.7,119.9,2621.6,2600.4,229.6,20,3.1,0.9,0.7,0.9,0.9,0.4,0.3,0.1,0.2,38.9,66.7,ATL,20,13.3,13.3,3.1,10.2,5.5,3.9,1.6,3.1,25.7,5.5
2026,Julie Vanloo,1642210,119.3,99.5,19.8,115.6,112.7,2.9,16.9,172.7,165.8,2706.0,2706.2,338.5,5,16.2,3.4,0.8,5.8,2.0,5.4,0.4,0.0,2.4,52.9,50.0,NYL,5,16.4,5.6,0.6,5.1,15.3,1.1,0.0,6.8,17.8,1.1
2026,Teaira McCowan,1629479,119.9,94.0,25.9,118.2,108.2,10.0,15.9,126.8,117.0,2750.2,2740.0,243.8,10,6.8,1.5,0.3,1.4,2.4,0.3,0.1,0.5,0.6,46.7,0.0,MIN,10,10.2,17.5,3.6,13.9,2.2,0.7,3.6,4.4,17.6,4.3
2026,Anneli Maley,1630993,124.3,105.5,18.9,115.4,112.3,3.1,15.8,121.4,122.3,2770.0,2761.6,243.8,8,8.1,1.6,0.5,0.8,1.4,0.3,0.6,0.1,0.0,7.7,16.7,NYL,8,4.5,8.3,3.8,4.5,1.5,3.8,0.8,0.0,12.0,4.6
2026,Aaliyah Nye,1642801,151.2,130.3,20.9,114.4,109.0,5.3,15.6,59.5,59.9,2671.8,2660.4,119.4,18,1.7,0.5,0.2,0.6,0.2,0.2,0.1,0.1,0.1,33.3,33.3,ATL,18,16.2,4.4,0.0,4.4,4.4,1.5,1.5,1.5,20.8,3.0
2026,Olivia Nelson-Ododa,1631135,109.5,110.7,-1.2,100.3,116.3,-16.0,14.8,1206.7,1236.5,1365.9,1355.9,2443.2,30,21.7,6.6,3.8,10.2,6.3,1.7,0.8,0.9,1.6,57.6,0.0,CON,30,23.2,14.3,4.0,10.4,3.9,1.8,2.0,3.7,24.5,3.8
2026,Michaela Onyenwere,1630446,113.7,106.7,7.0,101.2,108.4,-7.2,14.2,1476.4,1494.3,1147.4,1182.4,2970.6,31,25.8,7.0,1.9,9.1,3.0,1.8,0.5,0.2,1.7,43.5,40.4,WAS,31,17.5,5.8,3.1,2.7,3.5,1.0,0.3,3.3,20.0,1.3
