PERSON_ID,PLAYER_NAME
11,Pan Zhenqi
15,Eric Piatkowski
24,Keith Jennings
28,Doug West
29,Jim McIlvaine
35,Eric Riley
36,Sarunas Marciulionis
38,Brad Lohaus
45,George McCloud
47,Wayman Tisdale
49,Gheorghe Muresan
53,Mario Elie
63,Michael Smith
65,Greg Minor
66,Marques Bragg
70,Steve Kerr
77,Doug Overton
78,LaSalle Thompson
84,Latrell Sprewell
88,Steve Scheffler
93,Hubert Davis
95,Mark Bryant
100,Tim Legler
104,Benoit Benjamin
107,Dale Ellis
111,LaPhonso Ellis
114,Harold Miner
116,David Wood
121,Patrick Ewing
124,Vlade Divac
128,David Benoit
133,David Wesley
134,Kevin Johnson
136,P.J. Brown
137,Vernon Maxwell
141,Anthony Tucker
147,Jalen Rose
149,Michael Adams
154,Adrian Caldwell
156,Antoine Carr
160,Tim Breaux
164,Chris Childs
175,Alton Lister
179,Bryant Stith
180,John Crotty
181,Kenny Smith
182,Billy Owens
183,Bison Dele
184,Bobby Phills
185,Chris Webber
187,Terry Cummings
189,B.J. Tyler
190,Duane Causwell
192,Dennis Scott
194,Anthony Bowie
195,Lee Mayberry
198,Danny Ferry
199,Reggie Williams
202,Gary Grant
203,Nate McMillan
204,Jeff Hornacek
210,Terrell Brandon
211,Eric Mobley
212,Yinka Dare
216,Brian Shaw
219,Vinny Del Negro
221,Clar. Weatherspoon
223,Bill Curley
224,Eddie Jones
226,Antonio Lang
228,Adam Keefe
229,James Edwards
238,Tyrone Hill
239,Darrick Martin
240,Brooks Thompson
241,Darrin Hancock
243,Aaron McKie
246,Greg Anderson
247,Joe Dumars
252,Karl Malone
255,Grant Hill
258,Brian Grant
262,Michael Cage
270,Horace Grant
275,Allan Houston
279,Charles Jones
280,Felton Spencer
281,Scott Williams
283,Lindsey Hunter
287,Eric Leckner
288,Armen Gilliam
291,Ed Pinckney
292,Anthony Miller
293,Charles Smith
296,Rick Fox
297,Alonzo Mourning
299,Glenn Robinson
302,Mookie Blaylock
305,Robert Parish
308,Derrick Alston
310,Bobby Hurley
316,Richard Manning
317,John Starks
320,Jamie Watson
321,Scott Haskin
324,Anthony Peeler
330,Danny Manning
335,Willie Anderson
339,Tom Gugliotta
340,Kevin Pritchard
341,Joe Wolf
344,Dana Barros
345,Terry Porter
346,Doug Edwards
348,Mitchell Butler
349,Mark Jackson
351,Stacey King
353,Darrell Armstrong
355,Vincent Askew
356,Chris Morris
357,Greg Sutton
359,Chucky Brown
361,Clifford Robinson
363,Christian Laettner
364,Rex Chapman
365,Derrick McKey
368,Dwayne Schintzius
369,Charlie Ward
371,Terry Mills
375,Isaiah Rider
376,Eric Montross
381,James Robinson
384,Calbert Cheaney
386,Elliot Perry
389,Toni Kukoc
390,Sasha Danilovic
393,Rod Strickland
397,Reggie Miller
399,Sean Rooks
404,Kevin Duckworth
406,Shaquille O'Neal
412,Sharone Wright
416,Willie Burton
417,Sam Mitchell
418,Scott Brooks
420,Jayson Williams
422,Avery Johnson
423,Chris Gatling
426,Terry Davis
431,Shawn Kemp
433,Buck Williams
434,Tony Dumas
435,Carlos Rogers
438,Robert Werdann
441,Lamond Murray
445,Wesley Person
446,Lucious Harris
448,Bo Outlaw
452,Vin Baker
456,Chuck Person
457,Andrew Lang
461,Popeye Jones
462,J.R. Reid
467,Jason Kidd
468,Jon Barry
470,Doc Rivers
474,Stefano Rusconi
511,Melvin Booker
518,Timofey Mozgov
688,Michael Curry
709,Ed O'Bannon
753,Randy Brown
100342,Becky Hammon
100370,Stephanie White
201886,DeWanna Bonner
202252,Alysha Clark
202664,Courtney Vandersloot
203014,Nneka Ogwumike
203024,Damiris Dantas
203026,Tiffany Hayes
203398,Brittney Griner
203400,Skylar Diggins
203405,Kayla Alexander
203822,Rebekah Gardner
203824,Odyssey Sims
203825,Kayla McBride
203826,Alyssa Thomas
203827,Natasha Howard
203828,Stefanie Dolson
203833,Chelsea Gray
203855,Stephanie Talbot
203866,Kayla Thornton
204296,Rebecca Allen
204319,Jewell Loyd
204322,Elizabeth Williams
204323,Cheyenne Parker-Tyus
204324,Dearica Hamby
204329,Kiah Stokes
204330,Isabelle Harrison
204333,Natasha Cloud
204335,Betnijah Laney-Hamilton
204365,Erica Wheeler
204468,Valeriane Ayayi
1627668,Breanna Stewart
1627671,Rachel Banham
1627673,Jonquel Jones
1627674,Kahleah Copper
1627675,Courtney Williams
1627700,Julie Allemand
1627701,Temi Fagbenle
1628242,Emma Cannon
1628244,Sami Whitcomb
1628269,Nia Coffey
1628276,Kelsey Plum
1628277,Allisha Gray
1628278,Shatori Walker-Kimbrough
1628279,Brittney Sykes
1628280,Brionna Jones
1628317,Karlie Samuelson
1628508,Cecilia Zandalasini
1628878,Ariel Atkins
1628881,Monique Billings
1628882,Lexie Brown
1628886,Jordin Canada
1628899,Myisha Hines-Allen
1628909,Kelsey Mitchell
1628915,Kia Nurse
1628920,Mercedes Russell
1628922,Azura Stevens
1628931,Gabby Williams
1628932,A'ja Wilson
1629477,Sabrina Ionescu
1629478,Katie Lou Samuelson
1629479,Teaira McCowan
1629481,Arike Ogunbowale
1629482,Sophie Cunningham
1629483,Napheesa Collier
1629484,Megan Gustafson
1629488,Brianna Turner
1629491,Jessica Shepard
1629496,Ezi Magbegor
1629497,Marina Mabrey
1629498,Jackie Young
1629501,Alanna Smith
1629524,Bridget Carleton
1629539,Amy Okonkwo
1629546,Marine Johannes
1629566,Han Xu
1629567,Natisha Hiedeman
1629568,Kennedy Burke
1629574,Li Yueru
1629576,Maria Conde
1629581,Emese Hof
1630096,DiJonai Carrington
1630097,Kaila Charles
1630108,Mariella Fasoula
1630112,Tyasha Harris
1630115,Joyner Holmes
1630134,Sug Sutton
1630138,Peyton Williams
1630142,Leonie Fiebich
1630143,Luisa Geiselsoder
1630148,Jihyun Park
1630149,Satou Sabally
1630150,Chennedy Carter
1630154,Kamiah Smalls
1630384,Raquel Carrera
1630386,Awak Kuier
1630389,Dana Evans
1630442,Natasha Mack
1630446,Michaela Onyenwere
1630461,Kiana Williams
1630469,Marine Fauthoux
1630471,Maya Caldwell
1630993,Anneli Maley
1630996,Rae Burrell
1631006,Kierstan Bell
1631007,Veronica Burton
1631009,Rhyne Howard
1631019,NaLyssa Smith
1631021,Sika Kone
1631022,Shakira Austin
1631039,Miela Sowah
1631044,Naz Hillmon
1631055,Nyara Sabally
1631064,Chloe Bibby
1631083,Emily Engstler
1631086,Lexie Hull
1631118,Lexi Held
1631135,Olivia Nelson-Ododa
1631136,Pauline Astier
1631141,Jade Melbourne
1631263,Nikolina Milic
1641648,Aliyah Boston
1641649,Diamond Miller
1641650,Haley Jones
1641651,Jordan Horston
1641652,Maddy Siegrist
1641656,Laeticia Amihere
1641657,Dorka Juhasz
1641660,Zia Cooke
1641683,Holly Winterburn
1641695,Ashten Prechtel
1642210,Julie Vanloo
1642286,Caitlin Clark
1642287,Cameron Brink
1642288,Rickea Jackson
1642289,Kamilla Cardoso
1642290,Aaliyah Edwards
1642291,Angel Reese
1642292,Jacy Sheldon
1642293,Alissa Pili
1642296,Nyadiew Puoch
1642302,Isobel Borlase
1642303,Leila Lacan
1642304,Carla Leite
1642307,Mackenzie Holmes
1642320,Jaylyn Sherrod
1642321,Sydney Taylor
1642324,Kate Martin
1642767,Janelle Salaun
1642768,Kyara Linskens
1642769,Mai Yamamoto
1642775,Alex Wilson
1642777,Monique Akoa Makani
1642781,Georgia Amoore
1642782,Sarah Ashlee Barker
1642784,Paige Bueckers
1642785,Sonia Citron
1642786,Aicha Coulibaly
1642788,Bree Hall
1642790,Sania Feagin
1642791,Zaay Green
1642792,Kiki Iriafen
1642793,Aziaha James
1642794,Juste Jocyte
