GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
1022400018,1611661317,PHO,Phoenix,1627674,Kahleah Copper,Kahleah,F,,30:09,15.0,23.0,0.652,5.0,9.0,0.556,2.0,2.0,1.0,0.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,37.0,15.0
1022400018,1611661317,PHO,Phoenix,204296,Rebecca Allen,Rebecca,F,,27:34,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,8.0,5.0
1022400018,1611661317,PHO,Phoenix,1630442,Natasha Mack,Natasha,C,,21:37,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,6.0,0.0,2.0,0.0,1.0,6.0,-3.0
1022400018,1611661317,PHO,Phoenix,100940,Diana Taurasi,Diana,G,,29:39,3.0,13.0,0.231,3.0,8.0,0.375,0.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,9.0,-4.0
1022400018,1611661317,PHO,Phoenix,204333,Natasha Cloud,Natasha,G,,29:44,4.0,10.0,0.4,1.0,2.0,0.5,2.0,3.0,0.667,0.0,7.0,7.0,10.0,1.0,1.0,2.0,2.0,11.0,13.0
1022400018,1611661317,PHO,Phoenix,1630134,Sug Sutton,Sug,,,18:15,4.0,7.0,0.571,3.0,3.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,3.0
1022400018,1611661317,PHO,Phoenix,1629482,Sophie Cunningham,Sophie,,,22:51,2.0,6.0,0.333,2.0,5.0,0.4,3.0,4.0,0.75,0.0,9.0,9.0,0.0,0.0,1.0,0.0,1.0,9.0,11.0
1022400018,1611661317,PHO,Phoenix,1641700,Liz Dixon,Liz,,,12:07,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,18.0
1022400018,1611661317,PHO,Phoenix,1630114,Mikiah Herbert Harrigan,Mikiah,,,4:09,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
1022400018,1611661317,PHO,Phoenix,1629571,Morgan Bertsch,Morgan,,,3:55,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0
1022400018,1611661319,LVA,Las Vegas,1628276,Kelsey Plum,Kelsey,F,,37:40,9.0,23.0,0.391,7.0,14.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,3.0,4.0,27.0,-15.0
1022400018,1611661319,LVA,Las Vegas,1628932,A'ja Wilson,A'ja,F,,32:22,8.0,18.0,0.444,0.0,0.0,0.0,5.0,8.0,0.625,2.0,11.0,13.0,2.0,0.0,3.0,1.0,2.0,21.0,-11.0
1022400018,1611661319,LVA,Las Vegas,204329,Kiah Stokes,Kiah,C,,27:32,4.0,5.0,0.8,3.0,4.0,0.75,0.0,0.0,0.0,2.0,4.0,6.0,3.0,0.0,1.0,1.0,3.0,11.0,1.0
1022400018,1611661319,LVA,Las Vegas,202252,Alysha Clark,Alysha,G,,33:58,1.0,4.0,0.25,1.0,4.0,0.25,1.0,2.0,0.5,1.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,4.0,-12.0
1022400018,1611661319,LVA,Las Vegas,1629498,Jackie Young,Jackie,G,,40:00,10.0,19.0,0.526,0.0,3.0,0.0,3.0,3.0,1.0,1.0,7.0,8.0,8.0,2.0,0.0,0.0,2.0,23.0,-10.0
1022400018,1611661319,LVA,Las Vegas,1629484,Megan Gustafson,Megan,,,9:36,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,-4.0
1022400018,1611661319,LVA,Las Vegas,1642324,Kate Martin,Kate,,,14:20,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,-8.0
1022400018,1611661319,LVA,Las Vegas,202641,Sydney Colson,Sydney,,,4:32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,9.0
1022400018,1611661319,LVA,Las Vegas,1628242,Emma Cannon,Emma,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
1022400018,1611661319,LVA,Las Vegas,1642300,Dyaisha Fair,Dyaisha,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
